通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CJ1212032086,trending,seasonal_naive,否,13,0.3023,0.2791,7.69,13.0,12.0,7.69
CJ1212032088,intermittent,median_5,否,14,0.3636,0.0,100.0,20.0,0.0,100.0
CJ1212032097,sparse,tsb_opt,否,25,0.2358,0.0707,70.02,5.0,1.5,70.02
CJ1212032104,stable,theta,是,20,0.1721,0.0128,92.57,21.0,1.56,92.57
CJ1212032149,sparse,sba,否,13,0.6809,0.1183,82.62,35.0,6.08,82.62
CJ1212032194,intermittent,ma_5,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032201,sparse,tsb_opt,否,13,0.15,0.0584,61.1,3.0,1.17,61.1
CJ1212032216,erratic,tsb_opt,否,13,0.0786,0.0039,94.99,10.0,0.5,94.99
CJ1212032235,intermittent,weighted_ma_5,是,20,0.1878,0.0156,91.67,4.0,0.33,91.67
CJ1212032238,seasonal,optimized_hw,是,14,0.419,0.0041,99.02,15.0,0.15,99.02
CJ1212032250,intermittent,croston,是,13,1.6,0.7095,55.65,40.0,17.74,55.65
CJ1212032251,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032263,sparse,ma_3,否,18,0.1587,0.0529,66.67,10.0,3.33,66.67
CJ1212032264,intermittent,winsorized,是,13,0.3759,0.188,50.0,10.0,5.0,50.0
CJ1212032273,seasonal,ma_3,否,25,0.0683,0.0228,66.67,10.0,3.33,66.67
CJ1212032287,sparse,winsorized,是,24,0.4573,0.0381,91.67,15.0,1.25,91.67
CJ1212032291,seasonal,optimized_ses,否,14,0.0614,0.0031,94.98,5.0,0.25,94.98
CJ1212032307,seasonal,theta,是,16,0.4082,0.1809,55.69,8.0,3.54,55.69
CJ1212032371,sparse,winsorized,是,26,0.1172,0.0415,64.58,3.0,1.06,64.58
CJ1212032376,intermittent,median_5,否,14,0.4283,0.1071,75.0,40.0,10.0,75.0
CJ1212032399,sparse,ma_5,否,19,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032417,intermittent,tsb_opt,否,13,0.0177,0.0092,48.01,2.0,1.04,48.01
CJ1212032425,intermittent,naive_drift,是,13,0.6608,0.0,100.0,30.0,0.0,100.0
CJ1212032426,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032428,sparse,median_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032436,sparse,winsorized,是,22,0.5814,0.0121,97.92,15.0,0.31,97.92
CJ1212032444,intermittent,interval_based,否,26,0.927,0.2356,74.58,33.0,8.39,74.58
CJ1212032446,intermittent,tsb_opt,否,25,0.2941,0.126,57.15,10.0,4.29,57.15
CJ1212032449,seasonal,seasonal_naive,否,21,0.5993,0.0856,85.71,35.0,5.0,85.71
CJ1212032452,intermittent,tsb_opt,否,21,0.4796,0.0709,85.21,40.0,5.92,85.21
CJ1212032501,seasonal,seasonal_naive,否,15,1.2821,0.0,100.0,20.0,0.0,100.0
CJ1212032503,seasonal,damped_trend,是,13,0.7785,0.1712,78.01,45.0,9.89,78.01
CJ1212032515,sparse,median_5,否,16,1.0714,0.0,100.0,15.0,0.0,100.0
CJ1212032521,stable,interval_based,否,20,0.2275,0.0046,98.0,40.0,0.8,98.0
CJ1212032523,intermittent,adida,是,14,0.4785,0.0718,85.0,20.0,3.0,85.0
CJ1212032536,seasonal,seasonal_naive,否,24,0.0249,0.0,100.0,1.0,0.0,100.0
CJ1212032538,seasonal,ma_3,否,15,0.0877,0.0292,66.67,5.0,1.67,66.67
CJ1212032548,intermittent,median_5,否,15,0.4128,0.0917,77.78,9.0,2.0,77.78
CJ1212032576,intermittent,tsb_opt,否,20,0.3731,0.0973,73.94,10.0,2.61,73.94
CJ1212032581,sparse,median_5,否,26,0.7692,0.0,100.0,10.0,0.0,100.0
CJ1212032597,intermittent,weighted_ma_5,是,13,0.6757,0.0751,88.89,15.0,1.67,88.89
CJ1212032615,lumpy,winsorized,是,13,0.0373,0.0233,37.5,1.0,0.63,37.5
CJ1212032672,lumpy,weighted_ma_5,是,25,0.3383,0.0125,96.3,9.0,0.33,96.3
CJ1212032684,intermittent,median_5,否,26,0.8982,0.0,100.0,30.0,0.0,100.0
CJ1212032708,sparse,median_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032722,intermittent,winsorized,是,24,0.4739,0.1851,60.94,40.0,15.62,60.94
CJ1212032727,sparse,tsb_opt,否,13,0.25,0.0187,92.5,7.0,0.52,92.5
CJ1212032728,intermittent,winsorized,是,24,0.8926,0.5733,35.76,108.0,69.38,35.76
CJ1212032729,intermittent,weighted_ma_5,是,13,0.1564,0.1042,33.33,20.0,13.33,33.33
CJ1212032799,seasonal,seasonal_naive,否,13,0.2994,0.0,100.0,10.0,0.0,100.0
CJ1212032943,lumpy,winsorized,是,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212032946,seasonal,ma_3,否,13,0.499,0.0762,84.72,24.0,3.67,84.72
CJ1212032958,lumpy,median_5,否,13,0.4355,0.1742,60.0,50.0,20.0,60.0
CJ1212032959,lumpy,tsb_opt,否,13,2.0606,1.2454,39.56,68.0,41.1,39.56
CJ1212032972,intermittent,median_5,否,23,0.3571,0.0,100.0,10.0,0.0,100.0
CJ1212033035,intermittent,median_5,否,26,0.8555,0.0951,88.89,45.0,5.0,88.89
CJ1212033042,intermittent,weighted_ma_5,是,21,0.3191,0.1418,55.56,30.0,13.33,55.56
CJ1212033089,seasonal,seasonal_naive,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212033111,stable,ma_7,否,13,0.8728,0.6562,24.81,190.0,142.86,24.81
CJ1212033182,seasonal,optimized_des,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212033334,stable,holt_winters,否,23,0.167,0.0067,96.01,30.0,1.2,96.01
CJ1212033343,intermittent,croston,是,16,0.7143,0.0275,96.15,30.0,1.16,96.15
CJ1212033395,intermittent,ma_5,否,15,0.1951,0.1951,0.0,8.0,8.0,0.0
CJ1212033409,intermittent,interval_based,否,13,0.7546,0.1705,77.41,262.0,59.2,77.41
CJ1212033435,stable,theta,是,24,0.0939,0.0204,78.31,15.0,3.25,78.31
CJ1212033462,intermittent,optimized_ses,否,13,0.7431,0.0219,97.05,92.0,2.72,97.05
CJ1212033463,intermittent,sba,否,21,1.4286,0.7275,49.08,80.0,40.74,49.08
CJ1212033765,intermittent,interval_based,否,13,2.0325,1.0582,47.94,50.0,26.03,47.94
CJ1212033786,sparse,ma_3,否,13,0.2941,0.098,66.67,5.0,1.67,66.67
CJ1212033790,intermittent,optimized_ses,否,13,0.289,0.1098,62.02,10.0,3.8,62.02
CJ1212033791,intermittent,adida,是,13,1.3425,0.024,98.21,49.0,0.88,98.21
CJ1212033792,erratic,winsorized,是,13,0.5632,0.2011,64.29,70.0,25.0,64.29
CJ1212033793,seasonal,theta,是,19,0.6897,0.2164,68.63,160.0,50.19,68.63
CJ1212033794,intermittent,interval_based,否,14,0.0756,0.0,100.0,6.0,0.0,100.0
CJ1212033795,intermittent,adida,是,26,1.3393,0.7791,41.83,45.0,26.18,41.83
CJ1212033813,stable,theta,是,26,0.585,0.166,71.62,84.0,23.84,71.62
CJ1212033818,intermittent,tsb_opt,否,13,0.2381,0.019,92.04,10.0,0.8,92.04
CJ1212033820,seasonal,seasonal_naive,否,22,0.989,0.2381,75.93,54.0,13.0,75.93
CJ1212033827,intermittent,ma_5,否,13,0.0758,0.0758,0.0,1.0,1.0,0.0
CJ1212033858,seasonal,median_5,否,14,1.0714,0.0,100.0,30.0,0.0,100.0
CJ1212033861,seasonal,theta,是,14,1.2035,0.8827,26.66,453.0,332.23,26.66
CJ1212033873,lumpy,winsorized,是,16,0.1842,0.0844,54.17,21.0,9.62,54.17
CJ1212033936,sparse,tsb_opt,否,13,0.3247,0.1385,57.35,5.0,2.13,57.35
CJ1212033963,lumpy,ma_5,否,13,0.4545,0.4545,0.0,60.0,60.0,0.0
CJ1212033968,intermittent,ma_3,否,13,0.0452,0.0,100.0,1.0,0.0,100.0
CJ1212033974,lumpy,median_5,否,23,0.1748,0.0,100.0,10.0,0.0,100.0
CJ1212033977,intermittent,interval_based,否,14,0.1786,0.0238,86.67,5.0,0.67,86.67
CJ1212034103,intermittent,sba,否,13,0.6329,0.1027,83.77,30.0,4.87,83.77
CJ1212034109,intermittent,sba,否,16,0.2439,0.0074,96.98,10.0,0.3,96.98
CJ1212034140,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212034141,lumpy,median_5,否,22,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212034152,intermittent,median_5,否,15,0.6494,0.0,100.0,5.0,0.0,100.0
CJ1212034176,intermittent,weighted_ma_5,是,25,0.1287,0.0429,66.67,7.0,2.33,66.67
CJ1212034193,sparse,ma_3,否,13,1.5504,0.7752,50.0,40.0,20.0,50.0
CJ1212034223,seasonal,optimized_ses,否,21,0.0641,0.0072,88.7,20.0,2.26,88.7
CJ1212034266,trending,naive_drift,是,20,1.5385,0.0,100.0,40.0,0.0,100.0
CJ1212034275,stable,damped_trend,是,17,0.3344,0.0539,83.89,190.0,30.6,83.89
CJ1212034276,intermittent,adida,是,13,0.4785,0.0199,95.83,60.0,2.5,95.83
CJ1212034277,seasonal,damped_trend,是,13,0.303,0.0812,73.22,70.0,18.75,73.22
CJ1212034278,seasonal,holt_winters,否,18,0.3571,0.0,100.0,10.0,0.0,100.0
CJ1212034279,stable,theta,是,25,0.5181,0.0605,88.33,180.0,21.01,88.33
CJ1212034282,sparse,median_5,否,21,1.4022,0.0,100.0,76.0,0.0,100.0
CJ1212034284,intermittent,winsorized,是,21,0.25,0.1042,58.33,15.0,6.25,58.33
CJ1212034302,seasonal,seasonal_naive,否,15,2.2623,0.8197,63.77,69.0,25.0,63.77
CJ1212034303,stable,weighted_ma_5,是,13,0.27,0.0382,85.83,200.0,28.33,85.83
CJ1212034328,stable,ma_7,否,13,0.1724,0.0192,88.89,18.0,2.0,88.89
CJ1212034348,intermittent,tsb_opt,否,24,0.1471,0.0085,94.24,4.0,0.23,94.24
CJ1212034443,seasonal,optimized_hw,是,13,0.1485,0.0729,50.95,3.0,1.47,50.95
CJ1212034464,intermittent,weighted_ma_5,是,23,0.2137,0.0712,66.67,5.0,1.67,66.67
CJ1212034485,trending,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1212034672,intermittent,tsb_opt,否,15,0.4808,0.0006,99.87,10.0,0.01,99.87
CJ1212034674,intermittent,median_5,否,16,0.4938,0.0,100.0,20.0,0.0,100.0
CJ1212034703,lumpy,sba,否,13,0.3448,0.0102,97.03,9.0,0.27,97.03
CJ1212034709,lumpy,croston,是,18,0.6667,0.0454,93.19,17.0,1.16,93.19
CJ1212034718,lumpy,weighted_ma_5,是,26,0.6796,0.0324,95.24,14.0,0.67,95.24
CJ1212034772,intermittent,sba,否,25,0.7292,0.2638,63.83,35.0,12.66,63.83
CJ1212034797,intermittent,adida,是,26,0.1695,0.0341,79.9,4.0,0.8,79.9
CJ1212034804,trending,optimized_hw,是,20,0.2976,0.0901,69.73,50.0,15.14,69.73
CJ1212060185,intermittent,adida,是,13,0.75,0.0919,87.75,12.0,1.47,87.75
CJ1212060318,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2070550057,seasonal,seasonal_naive,否,15,2.1187,0.1979,90.66,182.0,17.0,90.66
CJ2070550064,stable,interval_based,否,13,1.0281,0.7763,24.49,300.0,226.53,24.49
CJ2070550069,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2070550077,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121020027,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121020032,intermittent,winsorized,是,13,0.5278,0.288,45.43,520.0,283.75,45.43
CJ2121040300,stable,ma_7,否,26,0.1182,0.0169,85.71,1000.0,142.86,85.71
CJ2121040457,stable,weighted_ma_5,是,15,0.1681,0.0,100.0,400.0,0.0,100.0
CJ2121041464,seasonal,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121041586,seasonal,optimized_hw,是,13,0.2,0.0466,76.7,100.0,23.3,76.7
CJ2121050051,intermittent,optimized_ses,否,13,0.9677,0.0242,97.5,60.0,1.5,97.5
CJ2121050251,intermittent,interval_based,否,26,0.3132,0.0038,98.8,30.0,0.36,98.8
CJ2121050358,intermittent,median_5,否,16,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121050359,intermittent,croston,是,21,0.1786,0.1185,33.63,20.0,13.27,33.63
CJ2121050500,seasonal,theta,是,14,0.3846,0.1028,73.27,70.0,18.71,73.27
CJ2121050514,seasonal,ma_3,否,14,0.3981,0.2875,27.78,120.0,86.67,27.78
CJ2121050565,seasonal,theta,是,23,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121050605,intermittent,ma_5,否,21,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121050621,seasonal,optimized_des,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121050630,seasonal,optimized_ses,否,20,0.1987,0.067,66.26,30.0,10.12,66.26
CJ2121050631,seasonal,weighted_ma_5,是,13,0.5263,0.1754,66.67,30.0,10.0,66.67
CJ2121050635,seasonal,optimized_des,否,13,0.3846,0.1137,70.43,100.0,29.57,70.43
CJ2121050642,intermittent,ma_5,否,15,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121050645,intermittent,theta,是,16,0.5424,0.0014,99.74,140.0,0.36,99.74
CJ2121050654,stable,theta,是,23,0.3387,0.0398,88.24,119.0,14.0,88.24
CJ2121050678,seasonal,ma_5,否,20,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121050685,stable,naive_drift,是,13,0.7469,0.1022,86.31,811.0,111.0,86.31
CJ2121050705,intermittent,ma_3,否,13,0.4545,0.1515,66.67,30.0,10.0,66.67
CJ2121050720,intermittent,adida,是,24,0.4606,0.074,83.94,69.0,11.08,83.94
CJ2121060387,stable,optimized_des,否,20,0.2899,0.0348,87.99,80.0,9.61,87.99
CJ2121060433,intermittent,median_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121060465,seasonal,optimized_des,否,19,0.6267,0.0,100.0,90.0,0.0,100.0
CJ2121080021,seasonal,seasonal_naive,否,21,0.1579,0.0789,50.0,600.0,300.0,50.0
CJ2121080094,intermittent,naive_drift,是,13,0.632,0.0037,99.41,850.0,5.0,99.41
CJ2121080680,intermittent,optimized_ses,否,13,0.5556,0.0713,87.17,100.0,12.83,87.17
CJ2121080953,intermittent,ma_3,否,13,0.1497,0.0499,66.67,500.0,166.67,66.67
CJ2121081227,seasonal,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2121090013,seasonal,optimized_hw,是,16,0.251,0.047,81.26,600.0,112.42,81.26
CJ2121090050,stable,holt_winters,否,19,0.4762,0.1481,68.89,700.0,217.75,68.89
CJ2121090635,intermittent,winsorized,是,13,0.7143,0.4911,31.25,100.0,68.75,31.25
CJ2121090901,seasonal,damped_trend,是,13,0.0262,0.0173,33.95,100.0,66.05,33.95
CJ2121091171,intermittent,tsb_opt,否,18,0.2083,0.0259,87.57,100.0,12.43,87.57
CJ2122140016,stable,weighted_ma_5,是,22,0.033,0.0,100.0,100.0,0.0,100.0
CJ2222120092,sparse,ma_5,否,22,0.6801,0.6801,0.0,37.0,37.0,0.0
CJ2222120130,lumpy,naive_drift,是,13,1.7886,0.7642,57.27,220.0,94.0,57.27
CJ2222120135,trending,optimized_des,否,26,0.0702,0.0496,29.37,4.0,2.83,29.37
CJ2222120138,seasonal,seasonal_naive,否,13,1.3869,0.292,78.95,38.0,8.0,78.95
CJ2222120174,intermittent,adida,是,22,3.2751,0.7424,77.33,150.0,34.0,77.33
CJ2222120177,intermittent,winsorized,是,23,0.6849,0.0571,91.67,30.0,2.5,91.67
CJ2222120204,sparse,weighted_ma_5,是,13,0.3252,0.1897,41.67,4.0,2.33,41.67
CJ2222130377,stable,ma_3,否,13,0.0886,0.0189,78.65,178.0,38.0,78.65
CJ2222130415,sparse,median_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ2222130416,trending,optimized_des,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ2222130522,intermittent,winsorized,是,15,0.3849,0.0241,93.75,50.0,3.12,93.75
CJ2222130718,intermittent,ma_5,否,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ2222130724,seasonal,ma_5,否,16,0.0,0.0,0.0,0.0,0.0,0.0
CJ2222130794,intermittent,ma_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ2222130798,trending,seasonal_naive,否,20,0.2469,0.1235,50.0,100.0,50.0,50.0
CJ2222140077,intermittent,winsorized,是,13,0.3571,0.0223,93.75,100.0,6.25,93.75
CJ2222140171,intermittent,adida,是,16,0.3448,0.0118,96.57,200.0,6.86,96.57
CJ2222200062,seasonal,optimized_des,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ2222200075,intermittent,theta,是,24,0.0607,0.0118,80.49,100.0,19.51,80.49
CJ2222200215,intermittent,tsb_opt,否,14,0.3448,0.094,72.74,50.0,13.63,72.74
CJ2222280036,intermittent,ma_3,否,13,0.8137,0.2712,66.67,200.0,66.67,66.67
CJ2222280037,intermittent,interval_based,否,13,0.2601,0.065,75.0,40.0,10.0,75.0
CJ2222280038,trending,holt_winters,否,14,1.2198,0.6104,49.95,343.0,171.66,49.95
CJ2222280039,seasonal,holt_winters,否,14,1.2314,0.6501,47.2,348.0,183.73,47.2
CJ2222280040,intermittent,ma_3,否,13,0.0697,0.0465,33.33,10.0,6.67,33.33
CJ2222280041,intermittent,ma_3,否,13,0.676,0.4153,38.57,242.0,148.67,38.57
CJ2222280042,intermittent,interval_based,否,13,0.5817,0.2654,54.38,105.0,47.9,54.38
CJ2222280048,seasonal,median_5,否,14,0.2441,0.0,100.0,29.0,0.0,100.0
CJ2222280049,seasonal,optimized_ses,否,14,0.0984,0.0213,78.31,11.0,2.39,78.31
CJ2222280080,intermittent,ma_5,否,24,0.0126,0.0126,0.0,1.0,1.0,0.0
CJ2222280081,intermittent,ma_5,否,24,0.0126,0.0126,0.0,1.0,1.0,0.0
CJ2222280084,intermittent,tsb_opt,否,13,0.6935,0.106,84.72,100.0,15.28,84.72
CJ2222280085,intermittent,tsb_opt,否,13,0.6935,0.106,84.72,100.0,15.28,84.72
CJ2222280086,intermittent,tsb_opt,否,13,0.6935,0.106,84.72,100.0,15.28,84.72
CJ2222280087,intermittent,ma_5,否,24,0.0126,0.0126,0.0,1.0,1.0,0.0
CJ4040030089,sparse,weighted_ma_5,是,13,0.6061,0.101,83.33,2.0,0.33,83.33
CJ4040090319,seasonal,holt_winters,否,26,0.3804,0.0629,83.46,35.0,5.79,83.46
CJ4040090320,seasonal,optimized_hw,是,26,0.4945,0.0845,82.91,45.0,7.69,82.91
CJ4040090397,seasonal,theta,是,14,0.5204,0.2068,60.27,23.0,9.14,60.27
CJ4040090398,seasonal,theta,是,14,0.5157,0.1613,68.73,23.0,7.19,68.73
CJ4040090417,seasonal,median_5,否,23,0.1099,0.0,100.0,3.0,0.0,100.0
CJ4040090418,seasonal,optimized_ses,否,23,0.6143,0.1617,73.68,18.0,4.74,73.68
CJ4040090419,intermittent,theta,是,16,0.5556,0.0913,83.57,5.0,0.82,83.57
CJ4040090420,lumpy,theta,是,16,1.0227,0.6204,39.34,9.0,5.46,39.34
CJ4040090427,stable,holt_winters,否,18,0.8456,0.0346,95.91,23.0,0.94,95.91
CJ4040090428,stable,holt_winters,否,18,0.7778,0.0236,96.96,21.0,0.64,96.96
CJ4040090433,lumpy,croston,是,13,1.9149,0.0043,99.77,45.0,0.1,99.77
CJ4040090434,lumpy,croston,是,13,1.7647,0.0135,99.23,45.0,0.35,99.23
CJ4040090435,lumpy,winsorized,是,18,0.1364,0.108,20.83,6.0,4.75,20.83
CJ4040090436,lumpy,winsorized,是,18,0.1364,0.108,20.83,6.0,4.75,20.83
CJ4040090439,intermittent,optimized_ses,否,21,0.7692,0.0784,89.8,2.0,0.2,89.8
CJ4040090440,intermittent,adida,是,21,0.7692,0.0769,90.0,2.0,0.2,90.0
CJ4040090459,lumpy,ma_3,否,13,1.1765,0.3922,66.67,20.0,6.67,66.67
CJ4040090460,seasonal,holt_winters,否,14,1.1628,0.0051,99.56,20.0,0.09,99.56
CJ4040090467,intermittent,croston,是,20,1.6667,1.0171,38.98,5.0,3.05,38.98
CJ4040090468,intermittent,croston,是,20,1.6667,1.0171,38.98,5.0,3.05,38.98
CJ4040190311,sparse,median_5,否,13,0.5556,0.0,100.0,1.0,0.0,100.0
CJ4040190377,intermittent,optimized_ses,否,13,0.3571,0.0529,85.19,1.0,0.15,85.19
CJ4040200656,trending,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4040500080,intermittent,median_5,否,23,0.279,0.0,100.0,1300.0,0.0,100.0
CJ4040500162,seasonal,median_5,否,13,1.1964,0.0,100.0,5300.0,0.0,100.0
CJ4040500163,intermittent,median_5,否,13,0.5163,0.1359,73.68,1900.0,500.0,73.68
CJ4040500178,seasonal,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4040500180,intermittent,theta,是,14,0.4545,0.0722,84.11,150.0,23.84,84.11
CJ4040500205,seasonal,theta,是,14,0.1465,0.115,21.49,400.0,314.05,21.49
CJ4040560322,trending,ma_3,否,22,1.3793,0.0,100.0,8.0,0.0,100.0
CJ4040560323,trending,ma_3,否,22,0.6061,0.303,50.0,2.0,1.0,50.0
CJ4040880026,trending,seasonal_naive,否,15,1.7273,1.0909,36.84,19.0,12.0,36.84
CJ4040880027,seasonal,optimized_ses,否,19,0.5682,0.2462,56.67,10.0,4.33,56.67
CJ4040880028,trending,seasonal_naive,否,15,1.7273,1.0909,36.84,19.0,12.0,36.84
CJ4141010124,intermittent,median_5,否,17,0.8219,0.0,100.0,600.0,0.0,100.0
CJ4141010125,sparse,median_5,否,26,1.375,0.0,100.0,1100.0,0.0,100.0
CJ4141010126,sparse,median_5,否,26,1.3945,0.0,100.0,1100.0,0.0,100.0
CJ4141070101,intermittent,weighted_ma_5,是,20,0.019,0.0063,66.67,2.0,0.67,66.67
CJ4141100494,seasonal,seasonal_naive,否,25,1.5702,0.0826,94.74,19.0,1.0,94.74
CJ4141100498,intermittent,median_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141100502,intermittent,median_5,否,13,0.4785,0.0,100.0,10.0,0.0,100.0
CJ4141110017,intermittent,winsorized,是,20,0.1639,0.041,75.0,2.0,0.5,75.0
CJ4141120416,seasonal,theta,是,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141150756,intermittent,sba,否,14,2.6596,0.0684,97.43,100.0,2.57,97.43
CJ4141150757,intermittent,sba,否,13,1.6327,0.1106,93.23,80.0,5.42,93.23
CJ4141150758,intermittent,adida,是,14,3.2331,0.4737,85.35,172.0,25.2,85.35
CJ4141150833,intermittent,winsorized,是,22,0.2257,0.019,91.59,58.0,4.88,91.59
CJ4141150840,intermittent,adida,是,13,0.7276,0.1156,84.12,133.0,21.12,84.12
CJ4141150866,sparse,croston,是,15,1.5217,0.1717,88.72,7.0,0.79,88.72
CJ4141150881,intermittent,adida,是,17,2.8495,0.7379,74.1,53.0,13.73,74.1
CJ4141150905,trending,damped_trend,是,26,0.4348,0.0432,90.07,3.0,0.3,90.07
CJ4141150910,intermittent,weighted_ma_5,是,18,0.7143,0.1786,75.0,4.0,1.0,75.0
CJ4141150911,seasonal,optimized_hw,是,26,1.0638,0.0479,95.5,5.0,0.23,95.5
CJ4141150914,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141150920,lumpy,winsorized,是,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141150948,intermittent,adida,是,13,2.5094,0.4588,81.72,200.0,36.56,81.72
CJ4141150986,intermittent,median_5,否,20,1.7361,0.0,100.0,50.0,0.0,100.0
CJ4141150988,seasonal,ma_3,否,23,1.4516,0.2688,81.48,9.0,1.67,81.48
CJ4141150992,intermittent,theta,是,13,0.4839,0.1251,74.14,3.0,0.78,74.14
CJ4141150995,sparse,median_5,否,13,3.4375,0.0,100.0,22.0,0.0,100.0
CJ4141150997,intermittent,median_5,否,18,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141151001,intermittent,median_5,否,13,1.8657,0.0,100.0,50.0,0.0,100.0
CJ4141151004,seasonal,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141151007,intermittent,weighted_ma_5,是,13,0.6098,0.4065,33.33,10.0,6.67,33.33
CJ4141151008,intermittent,optimized_ses,否,20,0.9091,0.0465,94.89,12.0,0.61,94.89
CJ4141151013,seasonal,theta,是,21,0.0926,0.0361,61.05,1.0,0.39,61.05
CJ4141151026,lumpy,adida,是,18,1.6176,0.2353,85.45,11.0,1.6,85.45
CJ4141151028,intermittent,theta,是,13,2.5,2.0475,18.1,4.0,3.28,18.1
CJ4141151029,lumpy,interval_based,否,13,2.4074,0.4733,80.34,26.0,5.11,80.34
CJ4141200252,intermittent,weighted_ma_5,是,18,0.2174,0.0725,66.67,10.0,3.33,66.67
CJ4141230015,intermittent,theta,是,14,0.3774,0.0675,82.12,40.0,7.15,82.12
CJ4141240143,seasonal,holt_winters,否,16,0.4563,0.2366,48.14,12.0,6.22,48.14
CJ4141240147,lumpy,winsorized,是,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240148,seasonal,holt_winters,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240149,lumpy,croston,是,13,0.4545,0.0543,88.06,20.0,2.39,88.06
CJ4141240173,intermittent,theta,是,23,0.9363,0.3332,64.42,150.0,53.38,64.42
CJ4141240179,intermittent,median_5,否,24,1.0784,0.098,90.91,55.0,5.0,90.91
CJ4141240183,trending,theta,是,26,0.8333,0.5685,31.78,3.0,2.05,31.78
CJ4141240199,seasonal,seasonal_naive,否,14,0.3687,0.0922,75.0,8.0,2.0,75.0
CJ4141240205,intermittent,interval_based,否,13,0.9444,0.1852,80.39,17.0,3.33,80.39
CJ4141240210,intermittent,median_5,否,23,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240228,intermittent,naive_drift,是,13,0.8993,0.1151,87.2,25.0,3.2,87.2
CJ4141240229,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240232,intermittent,median_5,否,26,0.3521,0.0,100.0,5.0,0.0,100.0
CJ4141240233,intermittent,winsorized,是,22,0.0,0.0,0.0,0.0,0.0,0.0
CJ4141240237,intermittent,naive_drift,是,13,2.4569,0.0,100.0,57.0,0.0,100.0
CJ4141240239,seasonal,ma_3,否,15,0.6897,0.0958,86.11,12.0,1.67,86.11
CJ4141240241,seasonal,weighted_ma_5,是,25,1.1864,0.0565,95.24,14.0,0.67,95.24
CJ4141240244,intermittent,adida,是,24,1.5023,0.7917,47.3,32.0,16.86,47.3
CJ4141240246,intermittent,winsorized,是,20,0.3571,0.2232,37.5,1.0,0.62,37.5
CJ4141240248,seasonal,seasonal_naive,否,13,1.383,0.4787,65.38,26.0,9.0,65.38
CJ4141240250,seasonal,seasonal_naive,否,13,3.5443,1.2658,64.29,112.0,40.0,64.29
CJ4141240252,intermittent,theta,是,18,0.9009,0.2348,73.94,20.0,5.21,73.94
CJ4141240256,lumpy,adida,是,13,2.8502,0.8599,69.83,59.0,17.8,69.83
CJ4141240257,trending,damped_trend,是,25,0.9794,0.404,58.75,19.0,7.84,58.75
