通用码,数据模式,最优方法,是否V6新增方法,最优区间(周),移动平均MASE,智能方法MASE,MASE提升(%),移动平均总量误差,智能方法总量误差,总量误差提升(%)
CJ1040201357,intermittent,sba,否,13,0.0355,0.0281,20.79,4.0,3.17,20.79
CJ1040201368,intermittent,theta,是,14,0.1887,0.0035,98.15,4.0,0.07,98.15
CJ1040201397,stable,optimized_ses,否,13,0.5687,0.051,91.04,24.0,2.15,91.04
CJ1040201402,intermittent,sba,否,18,0.297,0.0347,88.32,6.0,0.7,88.32
CJ1040201407,intermittent,tsb_opt,否,13,0.3922,0.0291,92.59,16.0,1.19,92.59
CJ1040201416,intermittent,median_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040201417,sparse,interval_based,否,13,3.5,2.269,35.17,70.0,45.38,35.17
CJ1040201459,intermittent,theta,是,15,0.1183,0.0917,22.47,4.0,3.1,22.47
CJ1040201480,seasonal,weighted_ma_5,是,13,2.5,0.119,95.24,7.0,0.33,95.24
CJ1040340308,sparse,median_5,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340312,intermittent,median_5,否,14,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340330,intermittent,median_5,否,25,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340359,seasonal,optimized_ses,否,20,0.3704,0.1487,59.85,2.0,0.8,59.85
CJ1040340362,intermittent,tsb_opt,否,13,0.5376,0.4496,16.38,5.0,4.18,16.38
CJ1040340372,sparse,median_5,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340392,intermittent,median_5,否,18,0.5128,0.0,100.0,4.0,0.0,100.0
CJ1040340439,seasonal,optimized_des,否,14,0.4545,0.0,100.0,7.0,0.0,100.0
CJ1040340451,sparse,ma_5,否,13,1.0,1.0,0.0,2.0,2.0,0.0
CJ1040340456,intermittent,weighted_ma_5,是,25,0.2632,0.0877,66.67,1.0,0.33,66.67
CJ1040340462,intermittent,median_5,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340474,stable,naive_drift,是,19,0.7205,0.0086,98.8,25.0,0.3,98.8
CJ1040340475,lumpy,tsb_opt,否,13,0.1613,0.0611,62.13,2.0,0.76,62.13
CJ1040340486,sparse,median_5,否,18,0.625,0.0,100.0,1.0,0.0,100.0
CJ1040340502,seasonal,seasonal_naive,否,15,0.5,0.0,100.0,1.0,0.0,100.0
CJ1040340519,intermittent,theta,是,13,0.2899,0.038,86.9,2.0,0.26,86.9
CJ1040340527,seasonal,theta,是,13,0.7353,0.3238,55.97,5.0,2.2,55.97
CJ1040340529,intermittent,theta,是,13,0.3846,0.3254,15.4,1.0,0.85,15.4
CJ1040340547,erratic,winsorized,是,13,1.9118,1.3971,26.92,13.0,9.5,26.92
CJ1040340552,trending,damped_trend,是,20,1.2975,0.0408,96.85,41.0,1.29,96.85
CJ1040340571,trending,optimized_hw,是,26,0.087,0.0272,68.73,1.0,0.31,68.73
CJ1040340572,erratic,weighted_ma_5,是,13,0.289,0.0193,93.33,5.0,0.33,93.33
CJ1040340574,intermittent,croston,是,13,0.5,0.0037,99.27,1.0,0.01,99.27
CJ1040340586,stable,optimized_hw,是,13,0.2618,0.066,74.79,5.0,1.26,74.79
CJ1040340588,lumpy,interval_based,否,26,0.3261,0.2174,33.33,3.0,2.0,33.33
CJ1040340589,intermittent,interval_based,否,19,0.9091,0.0909,90.0,2.0,0.2,90.0
CJ1040340596,stable,theta,是,26,0.3521,0.0826,76.54,10.0,2.35,76.54
CJ1040340597,seasonal,ma_5,否,24,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340601,seasonal,optimized_des,否,15,1.3333,0.0302,97.73,2.0,0.05,97.73
CJ1040340609,stable,weighted_ma_5,是,16,0.3571,0.0,100.0,4.0,0.0,100.0
CJ1040340610,stable,ma_3,否,26,0.3049,0.0407,86.67,5.0,0.67,86.67
CJ1040340615,intermittent,ma_3,否,13,2.1053,0.1754,91.67,4.0,0.33,91.67
CJ1040340618,intermittent,winsorized,是,19,0.2083,0.0521,75.0,1.0,0.25,75.0
CJ1040340623,intermittent,interval_based,否,15,0.6061,0.1791,70.45,2.0,0.59,70.45
CJ1040340630,trending,optimized_hw,是,26,0.4545,0.0399,91.22,6.0,0.53,91.22
CJ1040340631,stable,weighted_ma_5,是,21,0.1389,0.0,100.0,1.0,0.0,100.0
CJ1040340632,erratic,naive_drift,是,26,0.5051,0.1515,70.0,10.0,3.0,70.0
CJ1040340633,stable,ma_3,否,20,2.3625,0.356,84.93,73.0,11.0,84.93
CJ1040340635,intermittent,sba,否,21,0.6897,0.1317,80.91,2.0,0.38,80.91
CJ1040340640,intermittent,weighted_ma_5,是,24,0.2857,0.0,100.0,2.0,0.0,100.0
CJ1040340646,trending,optimized_ses,否,14,0.3145,0.005,98.41,5.0,0.08,98.41
CJ1040340653,stable,theta,是,13,0.4651,0.0,100.0,2.0,0.0,100.0
CJ1040340657,erratic,croston,是,13,1.4286,0.0232,98.38,10.0,0.16,98.38
CJ1040340658,seasonal,optimized_des,否,18,0.6897,0.122,82.31,2.0,0.35,82.31
CJ1040340669,intermittent,adida,是,23,1.0638,0.7509,29.41,5.0,3.53,29.41
CJ1040340692,seasonal,theta,是,26,0.4348,0.0,100.0,1.0,0.0,100.0
CJ1040340707,trending,optimized_hw,是,25,0.1303,0.0568,56.4,13.0,5.67,56.4
CJ1040340717,stable,ma_5,否,26,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340726,lumpy,theta,是,23,0.1442,0.0367,74.57,3.0,0.76,74.57
CJ1040340727,stable,ma_3,否,26,0.5085,0.0,100.0,6.0,0.0,100.0
CJ1040340760,seasonal,seasonal_naive,否,13,2.5,0.0,100.0,4.0,0.0,100.0
CJ1040340819,intermittent,tsb_opt,否,13,0.4167,0.0892,78.59,4.0,0.86,78.59
CJ1040340823,stable,seasonal_naive,否,13,1.1905,0.2381,80.0,5.0,1.0,80.0
CJ1040340828,stable,holt_winters,否,25,0.3604,0.1586,56.0,4.0,1.76,56.0
CJ1040340829,erratic,sba,否,15,0.3546,0.0362,89.79,5.0,0.51,89.79
CJ1040340831,trending,naive_drift,是,13,1.2162,0.8378,31.11,9.0,6.2,31.11
CJ1040340832,intermittent,interval_based,否,13,0.2083,0.0156,92.51,1.0,0.07,92.51
CJ1040340835,seasonal,optimized_ses,否,19,0.2941,0.0208,92.93,1.0,0.07,92.93
CJ1040340839,stable,interval_based,否,26,0.7359,0.5185,29.54,17.0,11.98,29.54
CJ1040340843,stable,optimized_hw,是,26,0.2247,0.0562,74.99,4.0,1.0,74.99
CJ1040340848,intermittent,interval_based,否,13,1.4545,0.8788,39.58,8.0,4.83,39.58
CJ1040340849,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340853,stable,interval_based,否,16,1.1236,0.2038,81.86,10.0,1.81,81.86
CJ1040340854,lumpy,adida,是,13,0.5714,0.0448,92.16,2.0,0.16,92.16
CJ1040340855,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340860,seasonal,median_5,否,13,1.0345,0.2463,76.19,21.0,5.0,76.19
CJ1040340864,stable,optimized_des,否,17,1.1386,0.3836,66.31,23.0,7.75,66.31
CJ1040340866,stable,weighted_ma_5,是,13,0.4545,0.0,100.0,2.0,0.0,100.0
CJ1040340873,seasonal,seasonal_naive,否,13,0.25,0.0,100.0,1.0,0.0,100.0
CJ1040340875,intermittent,optimized_ses,否,16,0.8696,0.2679,69.2,4.0,1.23,69.2
CJ1040340880,intermittent,croston,是,25,2.5,0.0638,97.45,8.0,0.2,97.45
CJ1040340903,stable,naive_drift,是,21,0.7447,0.0142,98.1,21.0,0.4,98.1
CJ1040340911,stable,optimized_hw,是,25,0.5085,0.0329,93.54,6.0,0.39,93.54
CJ1040340923,seasonal,ma_3,否,13,1.5385,1.2821,16.67,4.0,3.33,16.67
CJ1040340953,intermittent,winsorized,是,13,1.1475,0.8402,26.79,7.0,5.12,26.79
CJ1040340969,intermittent,ma_5,否,20,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340971,intermittent,median_5,否,13,0.3846,0.0,100.0,1.0,0.0,100.0
CJ1040340972,stable,theta,是,26,0.4497,0.0443,90.15,21.0,2.07,90.15
CJ1040340973,stable,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340975,seasonal,seasonal_naive,否,16,0.1429,0.0,100.0,1.0,0.0,100.0
CJ1040340979,stable,interval_based,否,13,0.8,0.2837,64.54,8.0,2.84,64.54
CJ1040340981,intermittent,ma_5,否,17,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040340983,seasonal,ma_3,否,14,0.4478,0.0995,77.78,3.0,0.67,77.78
CJ1040340986,seasonal,theta,是,16,0.1709,0.0638,62.67,2.0,0.75,62.67
CJ1040340989,stable,weighted_ma_5,是,13,0.2778,0.0,100.0,1.0,0.0,100.0
CJ1040341000,erratic,ma_3,否,13,0.5533,0.0862,84.42,107.0,16.67,84.42
CJ1040341007,intermittent,theta,是,16,0.0752,0.0157,79.05,1.0,0.21,79.05
CJ1040341013,stable,holt_winters,否,13,0.7965,0.1594,79.99,9.0,1.8,79.99
CJ1040341017,intermittent,naive_drift,是,13,0.4688,0.1562,66.67,3.0,1.0,66.67
CJ1040341018,stable,weighted_ma_5,是,26,0.1418,0.0473,66.67,2.0,0.67,66.67
CJ1040341026,erratic,theta,是,13,0.5357,0.1593,70.27,3.0,0.89,70.27
CJ1040341027,sparse,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341028,erratic,sba,否,13,0.2662,0.0136,94.91,7.0,0.36,94.91
CJ1040341029,intermittent,adida,是,17,0.7576,0.1667,78.0,5.0,1.1,78.0
CJ1040341031,intermittent,median_5,否,13,0.3125,0.0,100.0,1.0,0.0,100.0
CJ1040341035,seasonal,damped_trend,是,21,0.3086,0.0333,89.21,5.0,0.54,89.21
CJ1040341036,intermittent,naive_drift,是,16,0.2857,0.2,30.0,1.0,0.7,30.0
CJ1040341037,seasonal,median_5,否,26,0.354,0.0885,75.0,4.0,1.0,75.0
CJ1040341038,stable,weighted_ma_5,是,13,0.1124,0.0375,66.67,2.0,0.67,66.67
CJ1040341039,stable,naive_drift,是,13,0.5682,0.1364,76.0,5.0,1.2,76.0
CJ1040341041,stable,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341042,sparse,croston,是,16,0.4762,0.0512,89.24,1.0,0.11,89.24
CJ1040341047,seasonal,ma_5,否,18,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341048,seasonal,median_5,否,20,1.3636,0.0,100.0,3.0,0.0,100.0
CJ1040341052,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341053,stable,ma_7,否,26,0.0877,0.0251,71.43,1.0,0.29,71.43
CJ1040341061,intermittent,median_5,否,20,2.1429,1.4286,33.33,3.0,2.0,33.33
CJ1040341065,intermittent,interval_based,否,13,2.0588,0.8289,59.74,7.0,2.82,59.74
CJ1040341081,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341083,seasonal,ma_3,否,14,0.4202,0.0,100.0,5.0,0.0,100.0
CJ1040341091,intermittent,ma_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341093,intermittent,sba,否,13,0.5405,0.1255,76.79,2.0,0.46,76.79
CJ1040341097,stable,theta,是,13,1.4208,1.1901,16.24,26.0,21.78,16.24
CJ1040341100,lumpy,winsorized,是,13,0.9091,0.2841,68.75,5.0,1.56,68.75
CJ1040341106,intermittent,ma_5,否,22,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341111,stable,naive_drift,是,13,0.6481,0.0185,97.14,14.0,0.4,97.14
CJ1040341112,lumpy,weighted_ma_5,是,14,0.2299,0.0766,66.67,4.0,1.33,66.67
CJ1040341120,intermittent,sba,否,18,2.1429,0.1557,92.73,3.0,0.22,92.73
CJ1040341122,seasonal,optimized_des,否,14,1.0574,0.3861,63.48,35.0,12.78,63.48
CJ1040341126,intermittent,optimized_ses,否,26,0.3846,0.0037,99.04,1.0,0.01,99.04
CJ1040341127,intermittent,optimized_ses,否,13,0.3226,0.0036,98.87,1.0,0.01,98.87
CJ1040341128,seasonal,seasonal_naive,否,15,0.5263,0.2632,50.0,2.0,1.0,50.0
CJ1040341129,intermittent,median_5,否,13,0.0,0.0,0.0,0.0,0.0,0.0
CJ1040341130,seasonal,ma_5,否,23,0.3333,0.3333,0.0,1.0,1.0,0.0
CJ1040341137,intermittent,adida,是,22,0.2128,0.0083,96.08,1.0,0.04,96.08
CJ1040341144,seasonal,seasonal_naive,否,14,0.8511,0.2128,75.0,4.0,1.0,75.0
