通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CJ4141150987,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141150988,seasonal,ma_3,ma_3,0.2688,0.2688,1.67,1.67,V6
CJ4141150992,intermittent,theta,theta,0.1251,0.1251,0.78,0.78,V6
CJ4141150995,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141150997,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141150998,all_zero,optimized_ses,optimized_ses,10.2901,10.2901,34.99,34.99,V6.1
CJ4141151001,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141151004,seasonal,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141151007,intermittent,weighted_ma_5,weighted_ma_5,0.4065,0.4065,6.67,6.67,V6
CJ4141151008,intermittent,optimized_ses,optimized_ses,0.0465,0.0465,0.61,0.61,V6.1
CJ4141151013,seasonal,theta,theta,0.0361,0.0361,0.39,0.39,V6.1
CJ4141151026,lumpy,adida,adida,0.2353,0.2353,1.6,1.6,V6.1
CJ4141151028,intermittent,theta,theta,2.0475,2.0475,3.28,3.28,V6.1
CJ4141151029,lumpy,interval_based,interval_based,0.4733,0.4733,5.11,5.11,V6.1
CJ4141180013,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141200252,intermittent,weighted_ma_5,weighted_ma_5,0.0725,0.0725,3.33,3.33,V6.1
CJ4141230015,intermittent,theta,theta,0.0675,0.0675,7.15,7.15,V6.1
CJ4141240143,seasonal,holt_winters,holt_winters,0.2366,0.2366,6.22,6.22,V6
CJ4141240147,lumpy,winsorized,winsorized,0.0,0.0,0.0,0.0,持平
CJ4141240148,seasonal,holt_winters,holt_winters,0.0,0.0,0.0,0.0,持平
CJ4141240149,lumpy,croston,croston,0.0543,0.0543,2.39,2.39,V6.1
CJ4141240173,intermittent,theta,theta,0.3332,0.3332,53.38,53.38,V6.1
CJ4141240179,intermittent,median_5,median_5,0.098,0.098,5.0,5.0,V6
CJ4141240183,trending,theta,theta,0.5685,0.5685,2.05,2.05,V6.1
CJ4141240199,seasonal,seasonal_naive,seasonal_naive,0.0922,0.0922,2.0,2.0,V6.1
CJ4141240205,intermittent,interval_based,interval_based,0.1852,0.1852,3.33,3.33,V6.1
CJ4141240210,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240228,intermittent,naive_drift,naive_drift,0.1151,0.1151,3.2,3.2,V6
CJ4141240229,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240232,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240233,intermittent,winsorized,winsorized,0.0,0.0,0.0,0.0,持平
CJ4141240236,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141240237,intermittent,naive_drift,naive_drift,0.0,0.0,0.0,0.0,持平
CJ4141240239,seasonal,ma_3,ma_3,0.0958,0.0958,1.67,1.67,V6.1
CJ4141240241,seasonal,weighted_ma_5,weighted_ma_5,0.0565,0.0565,0.67,0.67,V6.1
CJ4141240244,intermittent,adida,adida,0.7917,0.7917,16.86,16.86,V6.1
CJ4141240245,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ4141240246,intermittent,winsorized,winsorized,0.2232,0.2232,0.62,0.62,V6
CJ4141240248,seasonal,seasonal_naive,seasonal_naive,0.4787,0.4787,9.0,9.0,V6
CJ4141240250,seasonal,seasonal_naive,seasonal_naive,1.2658,1.2658,40.0,40.0,V6
CJ4141240252,intermittent,theta,theta,0.2348,0.2348,5.21,5.21,V6
CJ4141240256,lumpy,adida,adida,0.8599,0.8599,17.8,17.8,V6
CJ4141240257,trending,damped_trend,damped_trend,0.404,0.404,7.84,7.84,V6.1
CJ4141240259,intermittent,median_5,median_5,0.1639,0.1639,1.0,1.0,V6
CJ4141240260,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240261,intermittent,adida,adida,0.7172,0.7172,8.75,8.75,V6
CJ4141240262,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ4141240264,stable,naive_drift,naive_drift,0.038,0.038,1.7,1.7,V6
CJ4141240265,seasonal,theta,theta,0.0018,0.0018,0.01,0.01,V6.1
