通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CJ6060081789,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ6060081881,seasonal,median_5,median_5,0.2174,0.2174,1.0,1.0,V6.1
CJ6060081955,stable,interval_based,interval_based,0.3229,0.3229,19.6,19.6,V6.1
CJ6060081961,stable,interval_based,interval_based,0.3305,0.3305,19.6,19.6,V6
CJ6060081972,seasonal,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ6060082032,stable,ma_3,ma_3,0.0,0.0,0.0,0.0,持平
CJ6060082040,intermittent,ma_3,ma_3,0.0,0.0,0.0,0.0,持平
CJ6060082042,stable,interval_based,interval_based,0.1335,0.1335,5.02,5.02,V6
CJ6060082043,intermittent,tsb_opt,tsb_opt,0.1893,0.1893,123.24,123.24,V6
CJ6060082044,intermittent,tsb_opt,tsb_opt,0.1857,0.1857,119.96,119.96,V6.1
CJ6060082054,lumpy,median_5,median_5,0.1053,0.1053,2.0,2.0,V6.1
CJ6060082055,seasonal,theta,theta,0.4459,0.4459,3.3,3.3,V6.1
CJ6060082056,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ6060082061,erratic,median_5,median_5,0.2094,0.2094,4.0,4.0,V6
CJ6060082062,erratic,adida,adida,0.1932,0.1932,3.4,3.4,V6.1
CJ6060082063,intermittent,croston,croston,0.2213,0.2213,1.11,1.11,V6
CJ6060082075,erratic,naive_drift,naive_drift,0.2232,0.2232,7.7,7.7,V6.1
CJ6060100020,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ6060230004,intermittent,sba,sba,0.1393,0.1393,271.64,271.64,V6
CJ6060230006,lumpy,interval_based,interval_based,0.0675,0.0675,276.92,276.92,V6
CJ6060230009,seasonal,optimized_hw,optimized_hw,0.3151,0.3151,6014.99,6014.99,V6
CJ6060240002,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ6060240040,intermittent,median_5,median_5,0.1786,0.1786,200.0,200.0,V6.1
CJ6060260168,lumpy,croston,croston,0.0512,0.0512,4.03,4.03,V6
CJ6060260176,intermittent,tsb_opt,tsb_opt,0.0212,0.0212,2.18,2.18,V6.1
CJ6060260183,seasonal,ma_3,ma_3,0.1856,0.1856,66.67,66.67,V6.1
CJ6060260206,intermittent,weighted_ma_5,weighted_ma_5,1.3725,1.3725,11.67,11.67,V6
CJ6060260312,stable,holt_winters,holt_winters,0.1503,0.1503,826.2,826.2,V6.1
CJ6060280006,intermittent,ma_3,ma_3,0.2045,0.2045,133.33,133.33,V6.1
CJ6060390028,sparse,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ6060390055,trending,optimized_hw,optimized_hw,0.1995,0.1995,13.36,13.36,V6.1
CJ7070050070,seasonal,optimized_hw,optimized_hw,0.0198,0.0198,7.04,7.04,V6.1
CJ7070380003,intermittent,ma_3,ma_3,0.4255,0.4255,20.0,20.0,V6
CJ7070480391,stable,optimized_ses,optimized_ses,0.1985,0.1985,12.59,12.59,V6
CJ7070480392,stable,ma_5,ma_5,0.2691,0.2691,18.0,18.0,V6.1
CJ7070480397,seasonal,theta,theta,0.0421,0.0421,11.38,11.38,V6
CJ7070480398,seasonal,theta,theta,0.0421,0.0421,11.38,11.38,V6
CJ7070480399,intermittent,weighted_ma_5,weighted_ma_5,0.1282,0.1282,33.33,33.33,V6
CJ7070480400,seasonal,theta,theta,0.0304,0.0304,7.0,7.0,V6
CJ7070480402,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070480403,intermittent,adida,adida,0.026,0.026,6.25,6.25,V6
CJ7070480404,intermittent,sba,sba,0.0635,0.0635,11.43,11.43,V6.1
CJ7070480405,intermittent,winsorized,winsorized,0.0772,0.0772,12.5,12.5,V6.1
CJ7070480409,intermittent,winsorized,winsorized,0.0,0.0,0.0,0.0,持平
CJ7070540079,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540080,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540101,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540108,trending,weighted_ma_5,weighted_ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540109,trending,weighted_ma_5,weighted_ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540114,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540115,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540186,intermittent,sba,sba,0.0005,0.0005,0.22,0.22,V6
CJ7070540187,intermittent,adida,adida,0.033,0.033,5.21,5.21,V6.1
CJ7070540188,intermittent,adida,adida,0.033,0.033,5.21,5.21,V6.1
CJ7070540189,stable,seasonal_naive,seasonal_naive,1.0741,1.0741,200.0,200.0,V6
CJ7070540200,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540201,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540233,seasonal,optimized_hw,optimized_hw,0.1153,0.1153,0.23,0.23,V6
CJ7070540234,seasonal,optimized_hw,optimized_hw,0.1153,0.1153,0.23,0.23,V6
CJ7070540235,stable,seasonal_naive,seasonal_naive,0.3069,0.3069,107.0,107.0,V6
CJ7070540236,stable,seasonal_naive,seasonal_naive,0.3062,0.3062,107.0,107.0,V6
CJ7070540237,stable,seasonal_naive,seasonal_naive,0.1552,0.1552,57.0,57.0,V6
CJ7070540245,intermittent,ma_3,ma_3,0.015,0.015,6.67,6.67,V6
CJ7070540253,intermittent,interval_based,interval_based,0.0859,0.0859,0.33,0.33,V6
CJ7070540254,intermittent,interval_based,interval_based,0.0859,0.0859,0.33,0.33,V6
CJ7070540257,stable,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ7070540271,intermittent,optimized_ses,optimized_ses,0.0519,0.0519,0.25,0.25,V6.1
CJ7070540272,intermittent,optimized_ses,optimized_ses,0.0519,0.0519,0.25,0.25,V6.1
CJ7070540280,intermittent,winsorized,winsorized,0.0254,0.0254,3.5,3.5,V6.1
CJ7070540283,seasonal,seasonal_naive,seasonal_naive,0.1587,0.1587,2.0,2.0,V6
CJ7070540284,intermittent,optimized_ses,optimized_ses,0.0617,0.0617,0.18,0.18,V6.1
CJ7070540293,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540304,erratic,naive_drift,naive_drift,0.3125,0.3125,2.0,2.0,持平
CJ7070540305,erratic,naive_drift,naive_drift,0.3125,0.3125,2.0,2.0,持平
CJ7070540309,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540310,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540311,lumpy,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540340,erratic,sba,sba,0.6194,0.6194,23.29,23.29,V6
CJ7070540341,erratic,adida,adida,0.6506,0.6506,21.6,21.6,V6
CJ7070540349,stable,naive_drift,naive_drift,0.1114,0.1114,8.9,8.9,V6.1
CJ7070540350,stable,naive_drift,naive_drift,0.1031,0.1031,8.9,8.9,V6
CJ7070540351,stable,naive_drift,naive_drift,0.1145,0.1145,8.9,8.9,V6
CJ7070540354,seasonal,seasonal_naive,seasonal_naive,0.3255,0.3255,25.0,25.0,V6
CJ7070540357,erratic,median_5,median_5,0.3125,0.3125,10.0,10.0,持平
CJ7070540358,erratic,median_5,median_5,0.3125,0.3125,10.0,10.0,持平
CJ7070540360,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540361,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540362,intermittent,theta,theta,0.0606,0.0606,0.47,0.47,V6
CJ7070540363,intermittent,theta,theta,0.0606,0.0606,0.47,0.47,V6
CJ7070540372,intermittent,optimized_ses,optimized_ses,0.0602,0.0602,0.38,0.38,V6.1
CJ7070540373,intermittent,croston,croston,0.0196,0.0196,0.12,0.12,V6
CJ7070540374,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540391,seasonal,optimized_hw,optimized_hw,0.1677,0.1677,0.65,0.65,V6
CJ7070540392,seasonal,optimized_hw,optimized_hw,0.1677,0.1677,0.65,0.65,V6
CJ7070540393,seasonal,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540394,seasonal,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540433,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540442,intermittent,winsorized,winsorized,0.0304,0.0304,4.5,4.5,V6.1
CJ7070540443,intermittent,winsorized,winsorized,0.0304,0.0304,4.5,4.5,V6.1
CJ7070540466,stable,theta,theta,0.222,0.222,64.39,64.39,V6
CJ7070540467,stable,theta,theta,0.2371,0.2371,68.0,68.0,V6.1
CJ7070540468,stable,naive_drift,naive_drift,0.8493,0.8493,460.0,460.0,V6
CJ7070540469,lumpy,weighted_ma_5,weighted_ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540472,lumpy,weighted_ma_5,weighted_ma_5,0.0,0.0,0.0,0.0,持平
CJ7070540496,stable,theta,theta,1.914,1.914,55.7,55.7,V6
CJ7070540503,seasonal,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ7070540504,seasonal,seasonal_naive,seasonal_naive,0.0,0.0,0.0,0.0,持平
CJ7070540534,erratic,theta,theta,0.0607,0.0607,4.0,4.0,V6.1
CJ7070540563,lumpy,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ7070540572,seasonal,median_5,median_5,0.2941,0.2941,1.0,1.0,V6
CJ7070540575,erratic,ma_3,ma_3,4.6561,4.6561,29.33,29.33,V6.1
CJ7070540576,erratic,ma_3,ma_3,4.6561,4.6561,29.33,29.33,V6.1
CJ7070540622,seasonal,damped_trend,damped_trend,0.2304,0.2304,15.57,15.57,V6.1
CJ7070540623,seasonal,damped_trend,damped_trend,0.0661,0.0661,4.47,4.47,V6
CJ7070540624,seasonal,optimized_ses,optimized_ses,0.0987,0.0987,11.36,11.36,V6.1
CJ8080021308,seasonal,theta,theta,0.0,0.0,0.0,0.0,持平
CJ8080430619,lumpy,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ9090050033,lumpy,theta,theta,0.0924,0.0924,0.37,0.37,V6.1
CJ9090050095,intermittent,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ9090050125,seasonal,optimized_ses,optimized_ses,0.1175,0.1175,21.0,21.0,V6.1
