通用码,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
CJ1010004974,30,100,0,0,3,60,5,75,30,37,75,0,40,50,0,70,20,0,45,60,60,40,30,0,50,25,50,50,5,90,0,55,30,95,0,55,5,50,35,50,25,50,15,60,55,20,60,75,10,0,40,50,30,65,20,5
CJ1010005169,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0
CJ1010005251,0,20,10,10,40,0,5,10,0,35,0,0,20,0,0,20,0,0,0,0,0,0,5,0,0,0,15,0,10,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CJ1010005351,0,0,41,0,5,10,130,35,20,5,5,0,0,0,20,10,0,0,0,2,0,5,0,2,0,10,0,0,0,1,0,0,0,0,0,0,6,2,1,1,5,1,0,0,0,15,10,0,10,10,0,0,0,0,0,10
CJ1010005371,0,30,0,0,3,0,10,10,20,20,5,35,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0
CJ1010005477,10,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,10,30,10,0,25,5,0,0,0,0,10,0,0,5,0,2,10,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
CJ1010005478,20,310,420,210,430,112,0,0,0,0,0,0,0,0,138,120,160,0,240,141,300,220,280,100,110,340,125,340,185,480,60,40,240,320,140,50,40,85,60,20,110,20,60,130,65,80,70,120,80,20,60,40,30,60,40,40
CJ1010005505,20,0,31,34,0,25,0,0,35,20,25,5,20,2,0,0,10,0,10,33,5,10,18,0,0,0,0,1,0,30,0,0,0,50,0,0,10,9,0,0,16,0,20,30,10,0,0,0,20,0,0,10,0,10,0,0
CJ1010005517,0,20,0,0,3,0,0,17,0,0,20,0,10,20,0,20,0,0,10,5,0,20,0,0,15,0,5,25,0,5,0,10,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
CJ1010005522,0,0,30,0,0,30,23,0,17,55,5,0,0,0,15,0,0,0,0,5,20,30,35,10,40,5,5,30,20,0,13,5,0,22,5,0,0,0,0,0,0,0,5,20,0,30,0,0,20,0,25,0,0,0,0,0
CJ1010005528,205,270,265,145,200,230,260,155,290,185,121,180,245,260,120,160,80,0,210,190,119,170,140,120,160,200,200,265,140,200,140,170,120,80,80,60,165,15,315,160,160,194,125,170,160,190,65,90,180,140,185,130,50,85,140,40
CJ1010005530,50,15,0,80,0,20,0,20,0,25,40,30,20,20,20,20,0,0,20,40,0,40,0,20,0,20,40,0,25,20,0,30,40,15,0,20,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,1,0,0,0
CJ1010005533,20,40,0,72,20,50,20,25,40,20,60,25,40,10,20,40,0,5,40,20,37,20,60,55,20,20,20,30,20,25,20,50,20,23,20,20,20,0,20,5,20,20,10,25,0,10,0,15,0,0,10,0,0,25,15,0
CJ1010005539,100,160,60,1,145,120,154,125,95,115,145,146,98,40,50,100,15,10,120,60,140,50,145,97,50,80,40,36,40,110,30,100,113,80,20,21,160,90,60,60,60,70,41,55,126,75,27,70,82,40,10,20,5,50,75,10
CJ1010005550,0,30,0,0,30,0,0,0,0,0,30,0,10,0,20,0,20,0,0,0,1,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010005576,0,10,0,0,30,45,0,0,15,20,0,20,0,16,10,0,10,0,14,0,0,10,10,0,20,0,6,0,0,0,0,0,0,0,5,0,5,10,10,0,0,0,0,5,0,0,0,0,5,0,0,5,0,10,0,0
CJ1010005588,0,10,120,55,100,30,30,190,0,50,100,0,140,0,130,60,150,0,100,50,50,50,90,50,45,50,65,90,50,80,50,0,50,90,205,0,0,80,40,30,50,60,50,60,50,0,0,50,60,60,20,50,20,60,10,25
CJ1010005594,0,50,0,0,0,50,5,15,16,10,0,0,45,0,10,0,10,0,9,0,0,0,100,25,10,15,10,30,5,10,40,0,2,12,30,15,20,20,0,2,0,10,15,0,5,5,19,0,0,0,35,0,0,0,0,0
CJ1010005601,20,250,200,440,280,97,0,0,43,160,380,180,180,400,160,160,120,0,380,390,345,260,320,260,100,520,180,440,270,540,60,120,320,160,120,100,100,140,140,120,40,80,120,180,200,220,160,40,60,120,20,140,20,182,60,120
CJ1010005611,0,0,1,0,0,0,0,5,0,0,0,0,0,0,3,0,40,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,60,0
CJ1010005632,0,0,0,0,0,0,0,5,10,30,0,30,5,45,0,0,10,0,0,0,10,0,30,0,0,0,0,0,0,69,0,0,0,0,0,3,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,50,0,0,0,0
CJ1010005639,0,0,0,0,21,10,8,0,0,40,20,20,20,0,0,0,0,0,0,120,22,0,2,20,20,0,0,5,0,53,20,0,0,0,0,0,0,60,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ1010005640,0,0,5,10,10,0,0,0,0,0,0,5,0,5,2,10,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
CJ1010005660,0,65,51,0,0,10,20,85,40,30,65,30,20,0,0,0,40,20,130,40,80,90,0,0,0,0,0,150,110,80,25,40,20,40,35,20,60,60,160,30,70,65,105,78,72,60,45,45,50,50,55,90,20,20,60,60
CJ1010005668,0,0,80,0,0,10,10,30,0,0,20,1,0,0,20,0,9,0,11,19,0,45,0,0,20,0,30,0,0,20,0,10,0,33,0,25,20,0,25,0,15,20,20,2,0,0,35,0,0,0,0,0,0,0,0,0
CJ1010005671,0,0,0,0,0,0,0,13,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,1,10,0,0,8,0,1,10,0,0,0,10,0,0,0,10,0,0,0,0,10
CJ1010005745,0,30,0,20,15,5,30,5,0,25,0,20,40,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
